,tissue_annotations
cell_01304,Stroma
cell_01305,Tumor
cell_01306,Tumor
cell_01307,Tumor
cell_01308,Tumor
cell_01309,Tumor
cell_01310,Tumor
cell_01311,Stroma
cell_01312,Tumor
cell_01313,Tumor
cell_01314,Tumor
cell_01315,Tumor
cell_01316,Stroma
cell_01317,Tumor
cell_01318,Tumor
cell_01319,Tumor
cell_01320,Tumor
cell_01321,Tumor
cell_01322,Tumor
cell_01323,Immune
cell_01324,Tumor
cell_01325,Tumor
cell_01326,Tumor
cell_01327,Tumor
cell_01328,Tumor
cell_01329,Tumor
cell_01330,Tumor
cell_01331,Tumor
cell_01332,Tumor
cell_01333,Tumor
cell_01334,Tumor
cell_01335,Tumor
cell_01336,Tumor
cell_01337,Tumor
cell_01338,Tumor
cell_01339,Tumor
cell_01340,Tumor
cell_01341,Stroma
cell_01342,Tumor
cell_01343,Tumor
cell_01344,Tumor
cell_01345,Tumor
cell_01346,Tumor
cell_01347,Tumor
cell_01348,Tumor
cell_01349,Tumor
cell_01350,Tumor
cell_01351,Tumor
cell_01352,Tumor
cell_01353,Tumor
cell_01354,Tumor
cell_01355,Tumor
cell_01356,Tumor
cell_01357,Tumor
cell_01358,Tumor
cell_01359,Tumor
cell_01360,Tumor
cell_01361,Tumor
cell_01362,Tumor
cell_01363,Tumor
cell_01364,Tumor
cell_01365,Tumor
cell_01366,Tumor
cell_01367,Tumor
cell_01368,Tumor
cell_01369,Tumor
cell_01370,Tumor
cell_01371,Tumor
cell_01372,Tumor
cell_01373,Tumor
cell_01374,Tumor
cell_01375,Tumor
cell_01376,Stroma
cell_01377,Immune
cell_01378,Stroma
cell_01379,Stroma
cell_01380,Stroma
cell_01381,Stroma
cell_01382,Stroma
cell_01383,Immune
cell_01384,Immune
cell_01385,Tumor
cell_01386,Stroma
cell_01387,Stroma
cell_01388,Immune
cell_01389,Tumor
cell_01390,Immune
cell_01391,Immune
cell_01392,Stroma
cell_01393,Tumor
cell_01394,Immune
cell_01395,Stroma
cell_01396,Stroma
cell_01397,Immune
cell_01398,Stroma
cell_01399,Stroma
cell_01400,Stroma
cell_01401,Stroma
cell_01402,Immune
cell_01403,Stroma
cell_01404,Stroma
cell_01405,Stroma
cell_01406,Immune
cell_01407,Tumor
cell_01408,Immune
cell_01409,Stroma
cell_01410,Immune
cell_01411,Immune
cell_01412,Immune
cell_01413,Immune
cell_01414,Tumor
cell_01415,Stroma
cell_01416,Stroma
cell_01417,Stroma
cell_01418,Immune
cell_01419,Immune
cell_01420,Immune
cell_01421,Stroma
cell_01422,Stroma
cell_01423,Immune
cell_01424,Stroma
cell_01425,Stroma
cell_01426,Tumor
cell_01427,Stroma
cell_01428,Immune
cell_01429,Stroma
cell_01430,Immune
cell_01431,Stroma
cell_01432,Stroma
cell_01433,Tumor
cell_01434,Tumor
cell_01435,Immune
cell_01436,Tumor
cell_01437,Stroma
cell_01438,Immune
cell_01439,Immune
cell_01440,Tumor
cell_01441,Tumor
cell_01442,Tumor
cell_01443,Tumor
cell_01444,Stroma
cell_01445,Stroma
cell_01446,Immune
cell_01447,Stroma
cell_01448,Stroma
cell_01449,Stroma
cell_01450,Tumor
cell_01451,Stroma
cell_01452,Immune
cell_01453,Immune
cell_01454,Stroma
cell_01455,Stroma
cell_01456,Stroma
cell_01457,Stroma
cell_01458,Immune
cell_01459,Stroma
cell_01460,Stroma
cell_01461,Stroma
cell_01462,Tumor
cell_01463,Stroma
cell_01464,Stroma
cell_01465,Immune
cell_01466,Stroma
cell_01467,Tumor
cell_01468,Stroma
cell_01469,Stroma
cell_01470,Immune
cell_01471,Tumor
cell_01472,Tumor
cell_01473,Stroma
cell_01474,Stroma
cell_01475,Stroma
cell_01476,Stroma
cell_01477,Immune
cell_01478,Stroma
cell_01479,Stroma
cell_01480,Tumor
cell_01481,Stroma
cell_01482,Stroma
cell_01483,Stroma
cell_01484,Stroma
cell_01485,Tumor
cell_01486,Immune
cell_01487,Stroma
cell_01488,Immune
cell_01489,Stroma
cell_01490,Tumor
cell_01491,Stroma
cell_01492,Immune
cell_01493,Immune
cell_01494,Stroma
cell_01495,Stroma
cell_01496,Immune
cell_01497,Stroma
cell_01498,Tumor
cell_01499,Immune
cell_01500,Immune
cell_01501,Immune
cell_01502,Immune
cell_01503,Immune
cell_01504,Immune
cell_01505,Immune
cell_01506,Immune
cell_01507,Immune
cell_01508,Immune
cell_01509,Stroma
cell_01510,Immune
cell_01511,Immune
cell_01512,Immune
cell_01513,Immune
cell_01514,Immune
cell_01515,Immune
cell_01516,Immune
cell_01517,Stroma
cell_01518,Immune
cell_01519,Immune
cell_01520,Immune
cell_01521,Immune
cell_01522,Stroma
cell_01523,Immune
cell_01524,Immune
cell_01525,Immune
cell_01526,Immune
cell_01527,Immune
cell_01528,Immune
cell_01529,Immune
cell_01530,Immune
cell_01531,Immune
cell_01532,Immune
cell_01533,Stroma
cell_01534,Immune
cell_01535,Immune
cell_01536,Stroma
cell_01537,Immune
cell_01538,Stroma
cell_01539,Stroma
cell_01540,Immune
cell_01541,Immune
cell_01542,Immune
cell_01543,Immune
cell_01544,Immune
cell_01545,Immune
cell_01546,Immune
cell_01547,Immune
cell_01548,Immune
cell_01549,Immune
cell_01550,Immune
cell_01551,Immune
cell_01552,Immune
cell_01553,Immune
cell_01554,Immune
cell_01555,Immune
cell_01556,Stroma
cell_01557,Immune
cell_01558,Immune
cell_01559,Immune
cell_01560,Immune
cell_01561,Immune
cell_01562,Immune
cell_01563,Stroma
cell_01564,Immune
cell_01565,Immune
cell_01566,Immune
cell_01567,Immune
cell_01568,Immune
cell_01569,Immune
cell_01570,Immune
cell_01571,Stroma
cell_01572,Immune
cell_01573,Immune
cell_01574,Immune
cell_01575,Immune
cell_01576,Immune
cell_01577,Stroma
cell_01578,Immune
cell_01579,Stroma
cell_01580,Immune
cell_01581,Immune
cell_01582,Immune
cell_01583,Immune
cell_01584,Immune
cell_01585,Immune
cell_01586,Immune
cell_01587,Immune
cell_01588,Immune
cell_01589,Immune
cell_01590,Immune
cell_01591,Immune
cell_01592,Immune
cell_01593,Immune
cell_01594,Stroma
cell_01595,Immune
cell_01596,Immune
cell_01597,Immune
cell_01598,Immune
cell_01599,Immune
cell_01600,Stroma
cell_01601,Immune
cell_01602,Immune
cell_01603,Stroma
cell_01604,Immune
cell_01605,Immune
cell_01606,Stroma
cell_01607,Immune
cell_01608,Immune
cell_01609,Immune
cell_01610,Tumor
cell_01611,Stroma
cell_01612,Immune
cell_01613,Immune
cell_01614,Immune
cell_01615,Immune
cell_01616,Immune
cell_01617,Stroma
cell_01618,Stroma
cell_01619,Immune
cell_01620,Immune
cell_01621,Immune
cell_01622,Immune
cell_01623,Immune
cell_01624,Tumor
cell_01625,Stroma
cell_01626,Immune
cell_01627,Immune
cell_01628,Stroma
cell_01629,Stroma
cell_01630,Tumor
cell_01631,Immune
cell_01632,Stroma
cell_01633,Stroma
cell_01634,Stroma
cell_01635,Tumor
cell_01636,Immune
cell_01637,Tumor
cell_01638,Tumor
cell_01639,Stroma
cell_01640,Stroma
cell_01641,Stroma
cell_01642,Immune
cell_01643,Stroma
cell_01644,Stroma
cell_01645,Stroma
cell_01646,Stroma
cell_01647,Stroma
cell_01648,Tumor
cell_01649,Immune
cell_01650,Stroma
cell_01651,Stroma
cell_01652,Stroma
cell_01653,Stroma
cell_01654,Stroma
cell_01655,Tumor
cell_01656,Stroma
cell_01657,Stroma
cell_01658,Immune
cell_01659,Stroma
cell_01660,Stroma
cell_01661,Stroma
cell_01662,Immune
cell_01663,Immune
cell_01664,Tumor
cell_01665,Stroma
cell_01666,Tumor
cell_01667,Stroma
cell_01668,Stroma
cell_01669,Stroma
cell_01670,Stroma
cell_01671,Stroma
cell_01672,Stroma
cell_01673,Stroma
cell_01674,Stroma
cell_01675,Immune
cell_01676,Stroma
cell_01677,Stroma
cell_01678,Tumor
cell_01679,Tumor
cell_01680,Stroma
cell_01681,Tumor
cell_01682,Stroma
cell_01683,Stroma
cell_01684,Stroma
cell_01685,Immune
cell_01686,Stroma
cell_01687,Immune
cell_01688,Stroma
cell_01689,Stroma
cell_01690,Tumor
cell_01691,Stroma
cell_01692,Stroma
cell_01693,Stroma
cell_01694,Stroma
cell_01695,Stroma
cell_01696,Stroma
cell_01697,Tumor
cell_01698,Tumor
cell_01699,Stroma
cell_01700,Immune
cell_01701,Tumor
cell_01702,Stroma
cell_01703,Stroma
cell_01704,Tumor
cell_01705,Tumor
cell_01706,Stroma
cell_01707,Stroma
cell_01708,Stroma
cell_01709,Immune
cell_01710,Immune
cell_01711,Immune
cell_01712,Immune
cell_01713,Stroma
cell_01714,Immune
cell_01715,Immune
cell_01716,Immune
cell_01717,Immune
cell_01718,Immune
cell_01719,Stroma
cell_01720,Immune
cell_01721,Stroma
cell_01722,Immune
cell_01723,Stroma
cell_01724,Immune
cell_01725,Immune
cell_01726,Immune
cell_01727,Tumor
cell_01728,Immune
cell_01729,Immune
cell_01730,Immune
cell_01731,Immune
cell_01732,Stroma
cell_01733,Stroma
cell_01734,Tumor
cell_01735,Immune
cell_01736,Tumor
cell_01737,Immune
cell_01738,Immune
cell_01739,Stroma
cell_01740,Stroma
cell_01741,Stroma
cell_01742,Immune
cell_01743,Stroma
cell_01744,Tumor
cell_01745,Stroma
cell_01746,Tumor
cell_01747,Immune
cell_01748,Stroma
cell_01749,Stroma
cell_01750,Stroma
cell_01751,Stroma
cell_01752,Stroma
cell_01753,Immune
cell_01754,Stroma
cell_01755,Stroma
cell_01756,Tumor
cell_01757,Stroma
cell_01758,Immune
cell_01759,Stroma
cell_01760,Immune
cell_01761,Stroma
cell_01762,Tumor
cell_01763,Tumor
cell_01764,Tumor
cell_01765,Stroma
cell_01766,Stroma
cell_01767,Stroma
cell_01768,Stroma
cell_01769,Stroma
cell_01770,Immune
cell_01771,Immune
cell_01772,Stroma
cell_01773,Immune
cell_01774,Immune
cell_01775,Tumor
cell_01776,Immune
cell_01777,Tumor
cell_01778,Stroma
cell_01779,Immune
cell_01780,Tumor
cell_01781,Immune
cell_01782,Immune
cell_01783,Tumor
cell_01784,Stroma
cell_01785,Immune
cell_01786,Immune
cell_01787,Stroma
cell_01788,Stroma
cell_01789,Stroma
cell_01790,Stroma
cell_01791,Stroma
cell_01792,Tumor
cell_01793,Stroma
cell_01794,Stroma
cell_01795,Stroma
cell_01796,Stroma
cell_01797,Stroma
cell_01798,Stroma
cell_01799,Stroma
cell_01800,Tumor
cell_01801,Stroma
cell_01802,Stroma
cell_01803,Stroma
cell_01804,Tumor
cell_01805,Stroma
cell_01806,Stroma
cell_01807,Stroma
cell_01808,Immune
cell_01809,Stroma
cell_01810,Stroma
cell_01811,Tumor
cell_01812,Stroma
cell_01813,Tumor
cell_01814,Stroma
cell_01815,Stroma
cell_01816,Stroma
cell_01817,Stroma
cell_01818,Stroma
cell_01819,Immune
cell_01820,Immune
cell_01821,Stroma
cell_01822,Stroma
cell_01823,Tumor
cell_01824,Immune
cell_01825,Stroma
cell_01826,Stroma
cell_01827,Stroma
cell_01828,Immune
cell_01829,Stroma
cell_01830,Stroma
cell_01831,Immune
cell_01832,Stroma
cell_01833,Stroma
cell_01834,Stroma
cell_01835,Stroma
cell_01836,Stroma
cell_01837,Tumor
cell_01838,Immune
cell_01839,Stroma
cell_01840,Stroma
cell_01841,Stroma
cell_01842,Stroma
cell_01843,Immune
cell_01844,Immune
cell_01845,Stroma
cell_01846,Stroma
cell_01847,Stroma
cell_01848,Stroma
cell_01849,Stroma
cell_01850,Stroma
cell_01851,Stroma
cell_01852,Stroma
cell_01853,Stroma
cell_01854,Stroma
cell_01855,Stroma
cell_01856,Stroma
cell_01857,Stroma
cell_01858,Stroma
cell_01859,Tumor
cell_01860,Stroma
cell_01861,Tumor
cell_01862,Immune
cell_01863,Stroma
cell_01864,Immune
cell_01865,Stroma
cell_01866,Stroma
cell_01867,Tumor
cell_01868,Stroma
cell_01869,Stroma
cell_01870,Stroma
cell_01871,Tumor
cell_01872,Stroma
cell_01873,Stroma
cell_01874,Immune
cell_01875,Immune
cell_01876,Stroma
cell_01877,Immune
cell_01878,Immune
cell_01879,Immune
cell_01880,Immune
cell_01881,Immune
cell_01882,Immune
cell_01883,Immune
cell_01884,Immune
cell_01885,Stroma
cell_01886,Immune
cell_01887,Immune
cell_01888,Immune
cell_01889,Immune
cell_01890,Stroma
cell_01891,Immune
cell_01892,Immune
cell_01893,Stroma
cell_01894,Immune
cell_01895,Immune
cell_01896,Immune
cell_01897,Immune
cell_01898,Stroma
cell_01899,Stroma
cell_01900,Immune
cell_01901,Stroma
cell_01902,Immune
cell_01903,Immune
cell_01904,Immune
cell_01905,Immune
cell_01906,Immune
cell_01907,Immune
cell_01908,Immune
cell_01909,Immune
cell_01910,Stroma
cell_01911,Immune
cell_01912,Immune
cell_01913,Immune
cell_01914,Stroma
cell_01915,Stroma
cell_01916,Immune
cell_01917,Immune
cell_01918,Immune
cell_01919,Immune
cell_01920,Immune
cell_01921,Stroma
cell_01922,Immune
cell_01923,Immune
cell_01924,Stroma
cell_01925,Immune
cell_01926,Immune
cell_01927,Immune
cell_01928,Stroma
cell_01929,Tumor
cell_01930,Immune
cell_01931,Immune
cell_01932,Immune
cell_01933,Immune
cell_01934,Immune
cell_01935,Stroma
cell_01936,Immune
cell_01937,Immune
cell_01938,Immune
cell_01939,Stroma
cell_01940,Stroma
cell_01941,Immune
cell_01942,Immune
cell_01943,Immune
cell_01944,Immune
cell_01945,Immune
cell_01946,Stroma
cell_01947,Immune
cell_01948,Immune
cell_01949,Immune
cell_01950,Immune
cell_01951,Immune
cell_01952,Immune
cell_01953,Immune
cell_01954,Immune
cell_01955,Immune
cell_01956,Immune
cell_01957,Immune
cell_01958,Immune
cell_01959,Immune
cell_01960,Stroma
cell_01961,Stroma
cell_01962,Immune
cell_01963,Stroma
cell_01964,Immune
cell_01965,Stroma
cell_01966,Immune
cell_01967,Immune
cell_01968,Immune
cell_01969,Immune
cell_01970,Immune
cell_01971,Stroma
cell_01972,Immune
cell_01973,Stroma
cell_01974,Stroma
cell_01975,Stroma
cell_01976,Stroma
cell_01977,Immune
cell_01978,Immune
cell_01979,Immune
cell_01980,Immune
cell_01981,Immune
cell_01982,Immune
cell_01983,Stroma
cell_01984,Immune
cell_01985,Immune
cell_01986,Tumor
cell_01987,Immune
cell_01988,Immune
cell_01989,Immune
cell_01990,Immune
cell_01991,Immune
cell_01992,Stroma
cell_01993,Stroma
cell_01994,Immune
cell_01995,Immune
cell_01996,Stroma
cell_01997,Immune
cell_01998,Immune
cell_01999,Immune
